geopotential_height,Year,Month
0.209,1979,1
0.356,1979,2
0.899,1979,3
0.678,1979,4
0.724,1979,5
1.7,1979,6
2.412,1979,7
0.546,1979,8
0.629,1979,9
0.16,1979,10
-0.423,1979,11
-0.951,1979,12
-0.447,1980,1
-0.98,1980,2
-1.424,1980,3
-2.068,1980,4
-0.479,1980,5
0.286,1980,6
-1.944,1980,7
-0.997,1980,8
-1.701,1980,9
0.577,1980,10
-2.013,1980,11
-0.356,1980,12
0.231,1981,1
0.039,1981,2
-0.966,1981,3
-1.462,1981,4
-0.344,1981,5
0.352,1981,6
-0.986,1981,7
-2.118,1981,8
-1.509,1981,9
-0.26,1981,10
0.626,1981,11
1.116,1981,12
-0.554,1982,1
0.277,1982,2
1.603,1982,3
1.531,1982,4
0.118,1982,5
0.92,1982,6
-0.415,1982,7
0.779,1982,8
1.58,1982,9
-0.702,1982,10
-0.849,1982,11
-1.934,1982,12
-1.34,1983,1
-1.081,1983,2
0.166,1983,3
0.149,1983,4
-0.437,1983,5
-0.263,1983,6
1.114,1983,7
0.792,1983,8
-0.696,1983,9
1.193,1983,10
0.727,1983,11
0.475,1983,12
-1.098,1984,1
-0.544,1984,2
0.251,1984,3
-0.204,1984,4
-1.237,1984,5
0.426,1984,6
0.89,1984,7
-0.548,1984,8
0.327,1984,9
-0.009,1984,10
-0.024,1984,11
-1.476,1984,12
-0.795,1985,1
0.215,1985,2
-0.134,1985,3
0.031,1985,4
-0.066,1985,5
-0.331,1985,6
1.914,1985,7
0.595,1985,8
1.507,1985,9
0.471,1985,10
1.085,1985,11
1.24,1985,12
0.158,1986,1
-1.588,1986,2
-0.77,1986,3
-0.087,1986,4
-1.847,1986,5
-0.619,1986,6
0.089,1986,7
-0.157,1986,8
0.849,1986,9
0.306,1986,10
-0.222,1986,11
0.886,1986,12
-0.95,1987,1
-0.708,1987,2
-0.133,1987,3
-0.286,1987,4
0.039,1987,5
-0.702,1987,6
-1.531,1987,7
1.485,1987,8
-0.799,1987,9
0.455,1987,10
1.06,1987,11
0.272,1987,12
-0.612,1988,1
0.551,1988,2
-0.219,1988,3
-0.077,1988,4
-0.749,1988,5
-1.055,1988,6
0.576,1988,7
-0.745,1988,8
-0.689,1988,9
-2.314,1988,10
0.401,1988,11
1.074,1988,12
0.618,1989,1
0.849,1989,2
0.632,1989,3
-0.573,1989,4
2.691,1989,5
1.995,1989,6
1.458,1989,7
-0.132,1989,8
-0.121,1989,9
0.136,1989,10
0.572,1989,11
-0.445,1989,12
-0.352,1990,1
1.151,1990,2
0.414,1990,3
-1.879,1990,4
-1.803,1990,5
0.093,1990,6
-1.215,1990,7
0.466,1990,8
1.482,1990,9
0.139,1990,10
-0.359,1990,11
-0.312,1990,12
0.869,1991,1
-0.852,1991,2
0.522,1991,3
-0.639,1991,4
-0.539,1991,5
-1.155,1991,6
-1.22,1991,7
0.036,1991,8
-0.513,1991,9
-0.623,1991,10
-0.804,1991,11
-2.067,1991,12
0.073,1992,1
