File ID,Cloud Free (Y/N/P),Coverage of lakes,Snow Cover (Y/N/P),Change in Sediment Cover? ,Date (YYYYMMDD),Notes
LANDSAT_8_2016-11-02,Y,All,N,N,,
LANDSAT_8_2016-11-04,Y,All,N,N,,
LANDSAT_8_2016-11-06,Y,All,N,N,,
LANDSAT_8_2016-11-08,Y,All,N,,,
LANDSAT_8_2016-11-11,N,All,,,,
LANDSAT_8_2016-11-13,Y,All,N,N,,
LANDSAT_8_2016-11-15,Y,All,N,,,
LANDSAT_8_2016-11-17,N,,,,,
LANDSAT_8_2016-11-18,N,,,,,
LANDSAT_8_2016-11-20,N,,,,,
LANDSAT_8_2016-11-22,Y,All,Y,,,
LANDSAT_8_2016-11-24,Y,All,Y,,,
LANDSAT_8_2016-11-27,Y,All,Y,,,No snow cover on Lake Bonney
LANDSAT_8_2016-11-29,P,LB,N,,,no cloud cover over lake Bonney
LANDSAT_8_2016-12-01,P,"LB, LH",N,,,
LANDSAT_8_2016-12-03,Y,LF,Y,,,
LANDSAT_8_2016-12-04,N,"LB, LH",,,,
LANDSAT_8_2016-12-06,N,,,,,
LANDSAT_8_2016-12-08,Y,All,P,,,"Light dusting of snow on LF, LH. Could also just be ice whitening"
LANDSAT_8_2016-12-10,Y,All,N,,,Maybe a light dusting of snow. LB clear. 
LANDSAT_8_2016-12-13,Y,All,N,,,
LANDSAT_8_2016-12-15,Y,All,N,,,
LANDSAT_8_2016-12-17,Y,All,N,Y,,
LANDSAT_8_2016-12-19,Y,LF,N,,,
LANDSAT_8_2016-12-20,N,,,,,
LANDSAT_8_2016-12-22,N,,,,,
LANDSAT_8_2016-12-24,Y,All,N,,,
LANDSAT_8_2016-12-26,N,,,,,
LANDSAT_8_2016-12-29,N,,,,,
LANDSAT_8_2016-12-31,N,,,,,
LANDSAT_8_2017-01-02,Y,All,N,,,
LANDSAT_8_2017-01-04,N,,,,,
LANDSAT_8_2017-01-05,P,All,,,,Fog? Slight cloud cover. May still be usable. 
LANDSAT_8_2017-01-07,N,,,,,
LANDSAT_8_2017-01-09,P,LF,N,,,"Cloud cover over LH, LB. "
LANDSAT_8_2017-01-11,Y,All,N,,,
LANDSAT_8_2017-01-14,Y,All,N,,,
LANDSAT_8_2017-01-16,P,All,N,,,Hazy cloud cover. 
LANDSAT_8_2017-01-18,Y,All,N,,,
LANDSAT_8_2017-01-20,N,N,,,,
LANDSAT_8_2017-01-21,P,All,,,,Hazy cloud cover. 
LANDSAT_8_2017-01-23,N,,,,,
LANDSAT_8_2017-01-25,Y,All,N,,,
LANDSAT_8_2017-01-27,Y,All,N,Y,,
LANDSAT_8_2017-01-30,Y,All,N,,,
LANDSAT_8_2017-02-01,Y,"LH, LF",N,,,
LANDSAT_8_2017-10-31,N,,,,,
LANDSAT_8_2017-11-04,Y,LF,N,,,
LANDSAT_8_2017-11-05,N,All,,,,
