date,lake,ice_abundance,sediment_abundance,buffer_distance,season
2016-11-02,East Lake Bonney,37.579071107517194,62.420928892482806,150,Summer 2016
2016-11-02,West Lake Bonney,37.07896132123441,62.9210386787656,150,Summer 2016
2016-11-04,East Lake Bonney,38.06833358419807,61.93166641580192,150,Summer 2016
2016-11-04,West Lake Bonney,36.875865937663086,63.12413406233692,150,Summer 2016
2016-11-06,East Lake Bonney,37.830554589354335,62.169445410645665,150,Summer 2016
2016-11-06,West Lake Bonney,36.40871942208808,63.591280577911924,150,Summer 2016
2016-11-08,East Lake Bonney,36.83025614665477,63.16974385334523,150,Summer 2016
2016-11-08,West Lake Bonney,35.437194041774994,64.56280595822501,150,Summer 2016
2016-11-13,East Lake Bonney,36.77411222779351,63.22588777220649,150,Summer 2016
2016-11-13,West Lake Bonney,34.13497036018747,65.86502963981253,150,Summer 2016
2016-11-15,East Lake Bonney,36.292945542938035,63.70705445706197,150,Summer 2016
2016-11-15,West Lake Bonney,35.01981264482645,64.98018735517354,150,Summer 2016
2016-12-10,East Lake Bonney,38.78726782121637,61.212732178783625,150,Summer 2016
2016-12-10,West Lake Bonney,38.44018225819245,61.55981774180754,150,Summer 2016
2016-12-13,East Lake Bonney,33.35046170015102,66.64953829984897,150,Summer 2016
2016-12-13,West Lake Bonney,36.211593535674766,63.788406464325234,150,Summer 2016
2016-12-15,East Lake Bonney,30.212612441906884,69.78738755809312,150,Summer 2016
2016-12-15,West Lake Bonney,33.89931867995046,66.10068132004953,150,Summer 2016
2016-12-24,East Lake Bonney,39.24433578813819,60.755664211861806,150,Summer 2016
2016-12-24,West Lake Bonney,36.788946312574026,63.21105368742597,150,Summer 2016
2017-01-02,East Lake Bonney,42.726227676018816,57.273772323981184,150,Summer 2016
2017-01-02,West Lake Bonney,37.3670917626393,62.632908237360695,150,Summer 2016
2017-01-11,East Lake Bonney,41.06540875904683,58.93459124095317,150,Summer 2016
2017-01-11,West Lake Bonney,36.53379967355872,63.46620032644128,150,Summer 2016
2017-01-14,East Lake Bonney,43.213876685553885,56.786123314446115,150,Summer 2016
2017-01-14,West Lake Bonney,35.55511659364156,64.44488340635844,150,Summer 2016
2017-01-18,East Lake Bonney,43.81307720016022,56.18692279983978,150,Summer 2016
2017-01-18,West Lake Bonney,36.121493215522634,63.87850678447737,150,Summer 2016
2017-01-25,East Lake Bonney,40.761104713186405,59.238895286813595,150,Summer 2016
2017-01-25,West Lake Bonney,35.32696151996993,64.67303848003007,150,Summer 2016
2017-01-27,East Lake Bonney,40.743681076635355,59.256318923364645,150,Summer 2016
2017-01-27,West Lake Bonney,35.60167187130885,64.39832812869115,150,Summer 2016
2017-01-30,East Lake Bonney,40.54336326869248,59.45663673130752,150,Summer 2016
2017-01-30,West Lake Bonney,35.37042415132187,64.62957584867812,150,Summer 2016
2017-11-07,East Lake Bonney,62.14891402352911,37.85108597647089,150,Summer 2017
2017-11-07,West Lake Bonney,44.12400692876648,55.87599307123352,150,Summer 2017
2017-11-18,East Lake Bonney,56.4786540267923,43.5213459732077,150,Summer 2017
2017-11-18,West Lake Bonney,42.02006483746396,57.97993516253604,150,Summer 2017
2017-11-21,East Lake Bonney,56.06093891020819,43.93906108979181,150,Summer 2017
2017-11-21,West Lake Bonney,42.53219800517981,57.46780199482019,150,Summer 2017
2017-11-25,East Lake Bonney,53.59423629589155,46.40576370410845,150,Summer 2017
2017-11-25,West Lake Bonney,42.64234076300779,57.357659236992205,150,Summer 2017
2017-11-27,East Lake Bonney,52.943912079943445,47.05608792005655,150,Summer 2017
2017-11-27,West Lake Bonney,42.57240240587112,57.427597594128876,150,Summer 2017
2017-11-30,East Lake Bonney,49.12261537021384,50.87738462978615,150,Summer 2017
2017-11-30,West Lake Bonney,38.38718167616912,61.61281832383088,150,Summer 2017
2017-12-02,East Lake Bonney,40.62609719441455,59.37390280558545,150,Summer 2017
2017-12-02,West Lake Bonney,38.967534444714794,61.032465555285206,150,Summer 2017
2017-12-07,East Lake Bonney,39.544372642486245,60.45562735751376,150,Summer 2017
2017-12-07,West Lake Bonney,33.01993507055736,66.98006492944263,150,Summer 2017
2017-12-16,East Lake Bonney,44.60742139196136,55.39257860803863,150,Summer 2017
2017-12-16,West Lake Bonney,39.339752328801886,60.66024767119811,150,Summer 2017
2017-12-23,East Lake Bonney,46.86953859123921,53.13046140876079,150,Summer 2017
2017-12-23,West Lake Bonney,40.70235523348405,59.29764476651596,150,Summer 2017
2018-01-03,East Lake Bonney,50.85459747741137,49.14540252258863,150,Summer 2017
2018-01-03,West Lake Bonney,39.675098213346175,60.32490178665382,150,Summer 2017
2018-01-05,East Lake Bonney,56.66325195850711,43.33674804149289,150,Summer 2017
2018-01-05,West Lake Bonney,40.473463474689645,59.52653652531035,150,Summer 2017
2018-01-10,East Lake Bonney,41.7016632190994,58.2983367809006,150,Summer 2017
2018-01-10,West Lake Bonney,39.67716884507138,60.32283115492862,150,Summer 2017
2018-01-12,East Lake Bonney,46.25360634060333,53.74639365939666,150,Summer 2017
2018-01-12,West Lake Bonney,39.601986262905356,60.39801373709464,150,Summer 2017
2018-01-14,East Lake Bonney,49.58189897338664,50.41810102661335,150,Summer 2017
2018-01-14,West Lake Bonney,39.544666803521075,60.45533319647893,150,Summer 2017
2018-01-19,East Lake Bonney,49.14430702031204,50.85569297968796,150,Summer 2017
2018-01-19,West Lake Bonney,39.24710250146789,60.7528974985321,150,Summer 2017
2018-01-26,East Lake Bonney,49.79686062324186,50.20313937675813,150,Summer 2017
2018-01-26,West Lake Bonney,39.281017836486214,60.71898216351379,150,Summer 2017
2018-01-30,East Lake Bonney,49.41265720060189,50.58734279939811,150,Summer 2017
2018-01-30,West Lake Bonney,38.85656268258434,61.14343731741566,150,Summer 2017
2018-11-05,East Lake Bonney,50.98822399166192,49.01177600833808,150,Summer 2018
2018-11-05,West Lake Bonney,39.20205648034938,60.79794351965062,150,Summer 2018
2018-11-08,East Lake Bonney,52.004094995152926,47.995905004847074,150,Summer 2018
2018-11-08,West Lake Bonney,38.27146836739479,61.72853163260521,150,Summer 2018
2018-11-12,East Lake Bonney,46.18244286991205,53.81755713008795,150,Summer 2018
2018-11-12,West Lake Bonney,36.124037516625215,63.875962483374785,150,Summer 2018
2018-11-17,East Lake Bonney,46.07500176136017,53.92499823863983,150,Summer 2018
2018-11-17,West Lake Bonney,36.83988689449376,63.16011310550624,150,Summer 2018
2018-11-19,East Lake Bonney,45.21041412056916,54.78958587943084,150,Summer 2018
2018-11-19,West Lake Bonney,36.23728207258096,63.76271792741903,150,Summer 2018
2018-11-24,East Lake Bonney,44.12988367698968,55.87011632301032,150,Summer 2018
2018-11-24,West Lake Bonney,37.00325912840245,62.996740871597545,150,Summer 2018
2018-11-26,East Lake Bonney,38.71147861988245,61.28852138011756,150,Summer 2018
2018-11-26,West Lake Bonney,34.77695155000639,65.22304844999361,150,Summer 2018
2018-11-28,East Lake Bonney,37.45423750920205,62.545762490797955,150,Summer 2018
2018-11-28,West Lake Bonney,35.217334616929016,64.78266538307098,150,Summer 2018
2018-11-30,East Lake Bonney,38.463864749774665,61.53613525022534,150,Summer 2018
2018-11-30,West Lake Bonney,35.73501287152314,64.26498712847686,150,Summer 2018
2018-12-05,East Lake Bonney,41.48946845085026,58.510531549149746,150,Summer 2018
2018-12-05,West Lake Bonney,36.2792948910032,63.7207051089968,150,Summer 2018
2018-12-30,East Lake Bonney,48.007809156798494,51.9921908432015,150,Summer 2018
2018-12-30,West Lake Bonney,38.47979024140282,61.520209758597176,150,Summer 2018
2019-01-01,East Lake Bonney,48.071849454844426,51.928150545155574,150,Summer 2018
2019-01-01,West Lake Bonney,37.877763186784875,62.122236813215125,150,Summer 2018
2019-01-04,East Lake Bonney,45.55887905583151,54.44112094416849,150,Summer 2018
2019-01-04,West Lake Bonney,38.197767138522096,61.802232861477904,150,Summer 2018
2019-01-06,East Lake Bonney,47.19434483786789,52.80565516213211,150,Summer 2018
2019-01-06,West Lake Bonney,37.82585958552986,62.17414041447014,150,Summer 2018
2019-01-11,East Lake Bonney,36.97675238204785,63.02324761795215,150,Summer 2018
2019-01-11,West Lake Bonney,38.07983801578354,61.92016198421646,150,Summer 2018
2019-01-15,East Lake Bonney,47.83963319473324,52.16036680526677,150,Summer 2018
2019-01-15,West Lake Bonney,38.25476687014021,61.74523312985979,150,Summer 2018
2019-01-24,East Lake Bonney,48.863099450510674,51.13690054948932,150,Summer 2018
2019-01-24,West Lake Bonney,37.92901961459359,62.07098038540641,150,Summer 2018
2019-11-06,East Lake Bonney,45.66544660895754,54.33455339104246,150,Summer 2019
2019-11-06,West Lake Bonney,36.86506447367704,63.13493552632296,150,Summer 2019
2019-11-08,East Lake Bonney,45.54841353429454,54.45158646570546,150,Summer 2019
2019-11-08,West Lake Bonney,36.771937607085974,63.22806239291403,150,Summer 2019
2019-11-11,East Lake Bonney,46.14387674627812,53.856123253721876,150,Summer 2019
2019-11-11,West Lake Bonney,36.53358746886954,63.466412531130466,150,Summer 2019
2019-11-15,East Lake Bonney,45.85477211398933,54.14522788601067,150,Summer 2019
2019-11-15,West Lake Bonney,35.93787087015952,64.06212912984049,150,Summer 2019
2019-11-17,East Lake Bonney,53.02109478303538,46.97890521696462,150,Summer 2019
2019-11-17,West Lake Bonney,34.84692126182631,65.15307873817369,150,Summer 2019
2019-11-24,East Lake Bonney,40.418060710907255,59.581939289092745,150,Summer 2019
2019-11-24,West Lake Bonney,35.318127954595,64.681872045405,150,Summer 2019
2019-11-27,East Lake Bonney,41.40600294181848,58.593997058181515,150,Summer 2019
2019-11-27,West Lake Bonney,36.089402184349,63.910597815651,150,Summer 2019
2019-12-03,East Lake Bonney,44.52223229244646,55.47776770755354,150,Summer 2019
2019-12-03,West Lake Bonney,36.10056089048241,63.89943910951759,150,Summer 2019
2019-12-17,East Lake Bonney,51.261432884502746,48.738567115497254,150,Summer 2019
2019-12-17,West Lake Bonney,39.31792884884618,60.68207115115383,150,Summer 2019
2019-12-24,East Lake Bonney,49.877254276642994,50.122745723357,150,Summer 2019
2019-12-24,West Lake Bonney,39.29432750007709,60.70567249992291,150,Summer 2019
2019-12-26,East Lake Bonney,48.809571283517876,51.19042871648212,150,Summer 2019
2019-12-26,West Lake Bonney,38.97756601624071,61.022433983759285,150,Summer 2019
2019-12-31,East Lake Bonney,48.77215739847035,51.22784260152966,150,Summer 2019
2019-12-31,West Lake Bonney,38.81239198836226,61.18760801163774,150,Summer 2019
2020-01-02,East Lake Bonney,48.91766186235202,51.08233813764797,150,Summer 2019
2020-01-02,West Lake Bonney,38.9931144106091,61.00688558939089,150,Summer 2019
2020-01-11,East Lake Bonney,45.80023117510329,54.1997688248967,150,Summer 2019
2020-01-11,West Lake Bonney,38.713106795837035,61.286893204162965,150,Summer 2019
2020-01-20,East Lake Bonney,46.658223263623256,53.341776736376744,150,Summer 2019
2020-01-20,West Lake Bonney,38.56565369471339,61.43434630528661,150,Summer 2019
2020-10-30,East Lake Bonney,56.61291769601399,43.38708230398602,150,Summer 2020
2020-10-30,West Lake Bonney,43.22804376091158,56.77195623908842,150,Summer 2020
2020-11-15,East Lake Bonney,52.71665734039483,47.28334265960517,150,Summer 2020
2020-11-15,West Lake Bonney,40.88732545857429,59.112674541425704,150,Summer 2020
2020-11-17,East Lake Bonney,52.426696179972275,47.57330382002773,150,Summer 2020
2020-11-17,West Lake Bonney,41.880909894237746,58.11909010576226,150,Summer 2020
2020-11-19,East Lake Bonney,51.459334778493314,48.54066522150669,150,Summer 2020
2020-11-19,West Lake Bonney,40.808756766347656,59.191243233652344,150,Summer 2020
2020-11-24,East Lake Bonney,41.41072572765359,58.589274272346415,150,Summer 2020
2020-11-24,West Lake Bonney,37.25989952174707,62.74010047825293,150,Summer 2020
2020-11-26,East Lake Bonney,37.89075971472437,62.10924028527563,150,Summer 2020
2020-11-26,West Lake Bonney,36.48308518837304,63.516914811626954,150,Summer 2020
2020-11-29,East Lake Bonney,38.841601033360504,61.158398966639496,150,Summer 2020
2020-11-29,West Lake Bonney,36.96950731214469,63.03049268785532,150,Summer 2020
2020-12-01,East Lake Bonney,38.99175749276626,61.00824250723373,150,Summer 2020
2020-12-01,West Lake Bonney,35.59284985272205,64.40715014727796,150,Summer 2020
2020-12-03,East Lake Bonney,42.00193939162082,57.99806060837918,150,Summer 2020
2020-12-03,West Lake Bonney,36.612741932781184,63.38725806721881,150,Summer 2020
2020-12-08,East Lake Bonney,51.38863280271943,48.61136719728057,150,Summer 2020
2020-12-08,West Lake Bonney,39.80159362028679,60.19840637971321,150,Summer 2020
2020-12-10,East Lake Bonney,52.211003033601024,47.788996966398976,150,Summer 2020
2020-12-10,West Lake Bonney,40.080074470347135,59.919925529652865,150,Summer 2020
