date,buffer_distance,lake,sediment
2016-11-02,50,East Lake Bonney,0.7174931632953496
2016-11-02,50,West Lake Bonney,0.936461068266544
2016-11-04,50,East Lake Bonney,0.7122815591774211
2016-11-04,50,West Lake Bonney,0.9213606601358074
2016-11-06,50,East Lake Bonney,0.7103698093900377
2016-11-06,50,West Lake Bonney,0.9105942634463947
2016-11-08,50,East Lake Bonney,0.6948702620037798
2016-11-08,50,West Lake Bonney,0.8884489599554157
2016-11-15,50,East Lake Bonney,0.6697339254368089
2016-11-15,50,West Lake Bonney,0.8741561685817681
2016-12-10,50,East Lake Bonney,0.7401826415689606
2016-12-10,50,West Lake Bonney,0.9176401937873435
2016-12-13,50,East Lake Bonney,0.6271125169522145
2016-12-13,50,West Lake Bonney,0.9501800987054599
2016-12-15,50,East Lake Bonney,0.55151328396488
2016-12-15,50,West Lake Bonney,0.9542065532165476
2016-12-17,50,East Lake Bonney,0.29329918194899274
2016-12-17,50,West Lake Bonney,0.9621304884216764
2016-12-24,50,East Lake Bonney,0.7942469853434776
2016-12-24,50,West Lake Bonney,0.9463770472189997
2017-01-02,50,East Lake Bonney,0.8715048824329046
2017-01-02,50,West Lake Bonney,0.948389012990725
2017-01-11,50,East Lake Bonney,0.8565093851295962
2017-01-11,50,West Lake Bonney,0.9341432873924264
2017-01-14,50,East Lake Bonney,0.9179595867021879
2017-01-14,50,West Lake Bonney,0.9069474098760681
2017-01-18,50,East Lake Bonney,0.9047380032283322
2017-01-18,50,West Lake Bonney,0.9149059535710206
2017-01-25,50,East Lake Bonney,0.8621911928788025
2017-01-25,50,West Lake Bonney,0.9012591597747702
2017-01-27,50,East Lake Bonney,0.8511011722524169
2017-01-27,50,West Lake Bonney,0.9102396987029243
2017-01-30,50,East Lake Bonney,0.8595169631780768
2017-01-30,50,West Lake Bonney,0.8869266237473004
2017-11-07,50,East Lake Bonney,0.9791922390089192
2017-11-07,50,West Lake Bonney,0.8179062574129392
2017-11-18,50,East Lake Bonney,0.9740832229803492
2017-11-18,50,West Lake Bonney,0.807779826353505
2017-11-21,50,East Lake Bonney,0.9639828413961582
2017-11-21,50,West Lake Bonney,0.7920991019170933
2017-11-25,50,East Lake Bonney,0.9414819114213601
2017-11-25,50,West Lake Bonney,0.8567328500838546
2017-11-27,50,East Lake Bonney,0.9509131697480884
2017-11-27,50,West Lake Bonney,0.8991942726122198
2017-11-30,50,East Lake Bonney,0.9661404442229555
2017-11-30,50,West Lake Bonney,0.9366829681484266
2017-12-02,50,East Lake Bonney,0.8929344280148462
2017-12-02,50,West Lake Bonney,0.9433868423468272
2017-12-07,50,East Lake Bonney,0.9212830302043612
2017-12-07,50,West Lake Bonney,0.9604837252155314
2017-12-16,50,East Lake Bonney,0.9262451961850038
2017-12-16,50,West Lake Bonney,0.9613439670922268
2017-12-23,50,East Lake Bonney,0.9405601982626145
2017-12-23,50,West Lake Bonney,0.9444347486038136
2018-01-03,50,East Lake Bonney,0.9866661913598056
2018-01-03,50,West Lake Bonney,0.9493224785311196
2018-01-05,50,East Lake Bonney,0.9999999999999998
2018-01-05,50,West Lake Bonney,0.9544669349738684
2018-01-10,50,East Lake Bonney,0.831585645869465
2018-01-10,50,West Lake Bonney,0.9733094652462445
2018-01-12,50,East Lake Bonney,0.8720709730688612
2018-01-12,50,West Lake Bonney,0.9470088819072883
2018-01-14,50,East Lake Bonney,0.9337587057821635
2018-01-14,50,West Lake Bonney,0.9537461366782423
2018-01-19,50,East Lake Bonney,0.9277590598526798
2018-01-19,50,West Lake Bonney,0.9426261408834452
2018-01-26,50,East Lake Bonney,0.9359520143983354
2018-01-26,50,West Lake Bonney,0.9308485728055863
2018-01-30,50,East Lake Bonney,0.9160666355769898
2018-01-30,50,West Lake Bonney,0.918367929983624
2018-11-05,50,East Lake Bonney,0.9553489668592762
2018-11-05,50,West Lake Bonney,0.8946233275702049
2018-11-08,50,East Lake Bonney,0.8509600612798476
2018-11-08,50,West Lake Bonney,0.8743889997161669
2018-11-12,50,East Lake Bonney,0.8385917938673997
2018-11-12,50,West Lake Bonney,0.8750000393685853
2018-11-17,50,East Lake Bonney,0.8346243217456087
2018-11-17,50,West Lake Bonney,0.8662660408592994
2018-11-19,50,East Lake Bonney,0.8182960023746187
2018-11-19,50,West Lake Bonney,0.8708572551836021
2018-11-24,50,East Lake Bonney,0.8821751460479965
2018-11-24,50,West Lake Bonney,0.9361805963858022
2018-11-26,50,East Lake Bonney,0.8587569005933439
2018-11-26,50,West Lake Bonney,0.9267496627431103
2018-11-28,50,East Lake Bonney,0.8082735860848315
2018-11-28,50,West Lake Bonney,0.9007573604753842
2018-11-30,50,East Lake Bonney,0.8107932674141288
2018-11-30,50,West Lake Bonney,0.9029522190879024
2018-12-05,50,East Lake Bonney,0.802632090851724
2018-12-05,50,West Lake Bonney,0.9232383074640261
2018-12-30,50,East Lake Bonney,0.9395008419909064
2018-12-30,50,West Lake Bonney,0.9394879573503763
2019-01-01,50,East Lake Bonney,0.9535218646871745
2019-01-01,50,West Lake Bonney,0.9401745293291824
2019-01-04,50,East Lake Bonney,0.8997194388707712
2019-01-04,50,West Lake Bonney,0.9332323522501736
2019-01-06,50,East Lake Bonney,0.9300045438015497
2019-01-06,50,West Lake Bonney,0.9352713637573037
2019-01-11,50,East Lake Bonney,0.7662353519405827
2019-01-11,50,West Lake Bonney,0.9504542361276745
2019-01-15,50,East Lake Bonney,0.9237013235956197
2019-01-15,50,West Lake Bonney,0.9223199007484781
2019-01-24,50,East Lake Bonney,0.9407961395203004
2019-01-24,50,West Lake Bonney,0.9111606694449177
2019-11-06,50,East Lake Bonney,0.9785274877809765
2019-11-06,50,West Lake Bonney,0.9999999999999998
2019-11-08,50,East Lake Bonney,0.9706152667035349
2019-11-08,50,West Lake Bonney,0.9996219664165678
2019-11-11,50,East Lake Bonney,0.9747216355644732
2019-11-11,50,West Lake Bonney,0.9990198888556956
2019-11-15,50,East Lake Bonney,0.9887521264213417
2019-11-15,50,West Lake Bonney,0.995422668184109
2019-11-17,50,East Lake Bonney,0.9810304179926191
2019-11-17,50,West Lake Bonney,0.94888483174036
2019-11-24,50,East Lake Bonney,0.8567578837391655
2019-11-24,50,West Lake Bonney,0.9613431865523254
2019-11-27,50,East Lake Bonney,0.806050528570757
2019-11-27,50,West Lake Bonney,0.9672753542721724
2019-12-03,50,East Lake Bonney,0.8534072012274815
2019-12-03,50,West Lake Bonney,0.9514442113113617
2019-12-17,50,East Lake Bonney,0.9999999999999998
2019-12-17,50,West Lake Bonney,0.9513528130008846
2019-12-24,50,East Lake Bonney,0.9906177718080886
2019-12-24,50,West Lake Bonney,0.968605772461761
2019-12-26,50,East Lake Bonney,0.9793999633716501
2019-12-26,50,West Lake Bonney,0.9694362573183763
2019-12-31,50,East Lake Bonney,0.997319991411663
2019-12-31,50,West Lake Bonney,0.9945048741852057
2020-01-02,50,East Lake Bonney,0.983038856966907
2020-01-02,50,West Lake Bonney,0.9938168300266461
2020-01-11,50,East Lake Bonney,0.9761337945041766
2020-01-11,50,West Lake Bonney,0.9955966255286107
2020-01-20,50,East Lake Bonney,0.9463251262289639
2020-01-20,50,West Lake Bonney,0.9866858894600435
2020-10-30,50,East Lake Bonney,0.8859050588859102
2020-10-30,50,West Lake Bonney,0.95726544708988
2020-11-15,50,East Lake Bonney,0.901619942858917
2020-11-15,50,West Lake Bonney,0.9715932329367325
2020-11-17,50,East Lake Bonney,0.8925435539077494
2020-11-17,50,West Lake Bonney,0.9602528483582021
2020-11-19,50,East Lake Bonney,0.9219317746572732
2020-11-19,50,West Lake Bonney,0.9708861149650208
2020-11-24,50,East Lake Bonney,0.8512262321211462
2020-11-24,50,West Lake Bonney,0.9940625531960756
2020-11-26,50,East Lake Bonney,0.8033775472639215
2020-11-26,50,West Lake Bonney,0.978703063232693
2020-11-29,50,East Lake Bonney,0.7795786695352603
2020-11-29,50,West Lake Bonney,0.9751206754687659
2020-12-01,50,East Lake Bonney,0.7964493839205523
2020-12-01,50,West Lake Bonney,0.9686617526843363
2020-12-03,50,East Lake Bonney,0.8116735571136723
2020-12-03,50,West Lake Bonney,0.9808704512294834
2020-12-08,50,East Lake Bonney,0.9435153111816031
2020-12-08,50,West Lake Bonney,0.9842201404012629
2020-12-10,50,East Lake Bonney,0.9763025004812497
2020-12-10,50,West Lake Bonney,0.9848187819619905
2020-12-15,50,East Lake Bonney,0.9283325925764689
2020-12-15,50,West Lake Bonney,0.9749692213478979
2020-12-21,50,East Lake Bonney,0.9781746708951613
2020-12-21,50,West Lake Bonney,0.9794955474756698
2020-12-24,50,East Lake Bonney,0.9575287070300493
2020-12-24,50,West Lake Bonney,0.9948297556898195
2021-01-13,50,East Lake Bonney,0.9999999999999996
2021-01-13,50,West Lake Bonney,0.9918519174777486
2021-01-16,50,East Lake Bonney,0.9448562957202964
2021-01-16,50,West Lake Bonney,0.974539962034877
2021-01-18,50,East Lake Bonney,0.9965847741676681
2021-01-18,50,West Lake Bonney,0.9807553495073549
2021-01-22,50,East Lake Bonney,1.0000000000000007
