date,lake,sediment
2016-11-02,East Lake Bonney,0.38396428722861464
2016-11-02,West Lake Bonney,0.4529616759293407
2016-11-04,East Lake Bonney,0.38901690666616573
2016-11-04,West Lake Bonney,0.4569578432079717
2016-11-06,East Lake Bonney,0.37586587359452367
2016-11-06,West Lake Bonney,0.4413330865304305
2016-11-08,East Lake Bonney,0.3547606183853707
2016-11-08,West Lake Bonney,0.4189393540965734
2016-11-15,East Lake Bonney,0.36647590047011647
2016-11-15,West Lake Bonney,0.42950100779817685
2016-12-10,East Lake Bonney,0.40493281517424584
2016-12-10,West Lake Bonney,0.4563939067963008
2016-12-13,East Lake Bonney,0.4336011674484061
2016-12-13,West Lake Bonney,0.5297335911251972
2016-12-15,East Lake Bonney,0.4223880663644953
2016-12-15,West Lake Bonney,0.5525392587452131
2016-12-17,East Lake Bonney,0.36803082637756496
2016-12-17,West Lake Bonney,0.5110096605716712
2016-12-24,East Lake Bonney,0.5231117919646352
2016-12-24,West Lake Bonney,0.597330292358118
2017-01-02,East Lake Bonney,0.5420409303756115
2017-01-02,West Lake Bonney,0.5879158405838785
2017-01-11,East Lake Bonney,0.5417347135228912
2017-01-11,West Lake Bonney,0.6004198328821382
2017-01-14,East Lake Bonney,0.5461424422306913
2017-01-14,West Lake Bonney,0.5627095399865665
2017-01-18,East Lake Bonney,0.5846362462399584
2017-01-18,West Lake Bonney,0.6108453834994988
2017-01-25,East Lake Bonney,0.5174120903514619
2017-01-25,West Lake Bonney,0.5561689545410805
2017-01-27,East Lake Bonney,0.5091177270898608
2017-01-27,West Lake Bonney,0.5516036464366322
2017-01-30,East Lake Bonney,0.5085001694066758
2017-01-30,West Lake Bonney,0.5436947988686767
2017-11-07,East Lake Bonney,0.501321352191763
2017-11-07,West Lake Bonney,0.4140965328307523
2017-11-18,East Lake Bonney,0.47451504129033417
2017-11-18,West Lake Bonney,0.40984829682234936
2017-11-21,East Lake Bonney,0.473292387564089
2017-11-21,West Lake Bonney,0.40622684309800966
2017-11-25,East Lake Bonney,0.4459548757752701
2017-11-25,West Lake Bonney,0.4101977786360182
2017-11-27,East Lake Bonney,0.4376667042969706
2017-11-27,West Lake Bonney,0.4144126786857794
2017-11-30,East Lake Bonney,0.46184261524953174
2017-11-30,West Lake Bonney,0.45394572914120485
2017-12-02,East Lake Bonney,0.4531520776575504
2017-12-02,West Lake Bonney,0.48571903146033457
2017-12-07,East Lake Bonney,0.5047849727361943
2017-12-07,West Lake Bonney,0.5345710800969543
2017-12-16,East Lake Bonney,0.493699025056501
2017-12-16,West Lake Bonney,0.5311969695627594
2017-12-23,East Lake Bonney,0.5393979388147188
2017-12-23,West Lake Bonney,0.5646629567081864
2018-01-03,East Lake Bonney,0.5891200931473721
2018-01-03,West Lake Bonney,0.5704745323839933
2018-01-05,East Lake Bonney,0.5584748651347727
2018-01-05,West Lake Bonney,0.4712665248514167
2018-01-10,East Lake Bonney,0.6226415630111861
2018-01-10,West Lake Bonney,0.6816482612647009
2018-01-12,East Lake Bonney,0.5936990301083872
2018-01-12,West Lake Bonney,0.6243480994515653
2018-01-14,East Lake Bonney,0.5792832357447717
2018-01-14,West Lake Bonney,0.5897206078225745
2018-01-19,East Lake Bonney,0.5880349383103021
2018-01-19,West Lake Bonney,0.5952511806461502
2018-01-26,East Lake Bonney,0.5816776801230711
2018-01-26,West Lake Bonney,0.5823615012136665
2018-01-30,East Lake Bonney,0.5399033879387026
2018-01-30,West Lake Bonney,0.5428172926787163
2018-11-05,East Lake Bonney,0.3786035030485626
2018-11-05,West Lake Bonney,0.35820303928397235
2018-11-08,East Lake Bonney,0.37882709648260954
2018-11-08,West Lake Bonney,0.37941800152648997
2018-11-12,East Lake Bonney,0.39703547143498524
2018-11-12,West Lake Bonney,0.40473391810973985
2018-11-17,East Lake Bonney,0.3916239613237518
2018-11-17,West Lake Bonney,0.4048824932171544
2018-11-19,East Lake Bonney,0.4090265834797695
2018-11-19,West Lake Bonney,0.4254410575796956
2018-11-24,East Lake Bonney,0.41513302708185873
2018-11-24,West Lake Bonney,0.42719226582819786
2018-11-26,East Lake Bonney,0.4196739714334036
