date,lake,sediment
2016-11-02,East Lake Bonney,0.3783501993492247
2016-11-02,Lake Hoare,0.2411568027699829
2016-11-02,Lake Fryxell,0.002521306260605359
2016-11-02,West Lake Bonney,0.18439001897349977
2016-11-04,East Lake Bonney,0.28497531771659834
2016-11-04,Lake Hoare,0.23402902284578886
2016-11-04,Lake Fryxell,0.0025662464834749835
2016-11-04,West Lake Bonney,0.08201047091784852
2016-11-06,East Lake Bonney,0.32399869384244084
2016-11-06,Lake Hoare,0.24641360472654986
2016-11-06,Lake Fryxell,0.0038776682736351956
2016-11-06,West Lake Bonney,0.11458539266895955
2016-11-08,East Lake Bonney,0.29494618410244555
2016-11-08,Lake Hoare,0.26280024121064377
2016-11-08,Lake Fryxell,0.006491468586027643
2016-11-08,West Lake Bonney,0.08575698691858652
2016-11-13,East Lake Bonney,0.1858371860237092
2016-11-13,Lake Hoare,0.6185825111716985
2016-11-13,Lake Fryxell,0.008259107414633078
2016-11-13,West Lake Bonney,0.04857107181429453
2016-11-15,East Lake Bonney,0.19085592476963928
2016-11-15,Lake Hoare,0.17412860042997602
2016-11-15,Lake Fryxell,0.007825431937817484
2016-11-15,West Lake Bonney,0.024320342915743847
2016-12-10,East Lake Bonney,0.7430514273047448
2016-12-10,Lake Hoare,0.18690684805624147
2016-12-10,Lake Fryxell,0
2016-12-10,West Lake Bonney,0.6574112831056119
2016-12-13,East Lake Bonney,0.5279195517301561
2016-12-13,Lake Hoare,0.2363078170613151
2016-12-13,Lake Fryxell,0
2016-12-13,West Lake Bonney,0.30939947791397554
2016-12-15,East Lake Bonney,0.4457655684277412
2016-12-15,Lake Hoare,0.23452376614593953
2016-12-15,Lake Fryxell,0
2016-12-15,West Lake Bonney,0.10391108989540954
2016-12-17,East Lake Bonney,0.5770715012401345
2016-12-17,Lake Hoare,0.5358505193516606
2016-12-17,Lake Fryxell,0
2016-12-17,West Lake Bonney,0.21267245439812518
2016-12-19,East Lake Bonney,NA
2016-12-19,Lake Hoare,NA
2016-12-19,Lake Fryxell,0
2016-12-19,West Lake Bonney,NA
2016-12-24,East Lake Bonney,0
2016-12-24,Lake Hoare,0.036010262244381044
2016-12-24,Lake Fryxell,8.175308816134881e-5
2016-12-24,West Lake Bonney,0
2017-01-02,East Lake Bonney,0.016576397416938553
2017-01-02,Lake Hoare,0.08452718352302298
2017-01-02,Lake Fryxell,0.011826800513081239
2017-01-02,West Lake Bonney,2.647375036031018e-4
2017-01-11,East Lake Bonney,0.04363494684861511
2017-01-11,Lake Hoare,0.11627349726506499
2017-01-11,Lake Fryxell,0.015643396491650505
2017-01-11,West Lake Bonney,0.0010731982009019707
2017-01-14,East Lake Bonney,0.022947824445145683
2017-01-14,Lake Hoare,0.11608729919869853
2017-01-14,Lake Fryxell,0.04690438819052361
2017-01-14,West Lake Bonney,0.002792441471829085
2017-01-18,East Lake Bonney,0.019743192881869612
2017-01-18,Lake Hoare,0.09509860353427972
2017-01-18,Lake Fryxell,0.021250777456734822
2017-01-18,West Lake Bonney,0.001861136388433803
2017-01-25,East Lake Bonney,0.06786566349328489
2017-01-25,Lake Hoare,0.14044072133721816
2017-01-25,Lake Fryxell,0.018380996856285445
2017-01-25,West Lake Bonney,0.013547231960983461
2017-01-27,East Lake Bonney,0.06357312775828175
2017-01-27,Lake Hoare,0.1421315976628099
2017-01-27,Lake Fryxell,0.017371586175577276
2017-01-27,West Lake Bonney,0.009685504892840958
2017-01-30,East Lake Bonney,0.08157134861568927
2017-01-30,Lake Hoare,0.14402825648896325
2017-01-30,Lake Fryxell,0.01514487427266431
2017-01-30,West Lake Bonney,0.02306495493568948
2017-02-01,East Lake Bonney,0.08620265668665515
2017-02-01,Lake Hoare,0.14690384525922162
2017-02-01,Lake Fryxell,0.01676830603857523
2017-02-01,West Lake Bonney,NA
2017-11-04,East Lake Bonney,NA
2017-11-04,Lake Hoare,NA
2017-11-04,Lake Fryxell,0.06423789955966656
2017-11-04,West Lake Bonney,NA
2017-11-07,East Lake Bonney,0.31612879032269114
2017-11-07,Lake Hoare,0.5106923208013174
2017-11-07,Lake Fryxell,0.14302722831867834
2017-11-07,West Lake Bonney,0.5929562194786556
2017-11-18,East Lake Bonney,0.41449887715280076
2017-11-18,Lake Hoare,0.1668104364303872
2017-11-18,Lake Fryxell,0.09900977480137976
2017-11-18,West Lake Bonney,0.5808683935413135
2017-11-20,East Lake Bonney,NA
2017-11-20,Lake Hoare,NA
2017-11-20,Lake Fryxell,0.09545739288558222
2017-11-20,West Lake Bonney,NA
2017-11-21,East Lake Bonney,0.3295899964123964
2017-11-21,Lake Hoare,0.131159911804134
2017-11-21,Lake Fryxell,0.1087835265382817
2017-11-21,West Lake Bonney,0.49797037228941904
2017-11-25,East Lake Bonney,0.29047888619825235
2017-11-25,Lake Hoare,0.14292026326118493
2017-11-25,Lake Fryxell,0.13479074013288458
2017-11-25,West Lake Bonney,0.3863227583887056
2017-11-27,East Lake Bonney,0.2578920648433267
2017-11-27,Lake Hoare,0.12336416826467032
2017-11-27,Lake Fryxell,0.1172858240065421
2017-11-27,West Lake Bonney,0.3251948095858097
2017-11-30,East Lake Bonney,0.17913443759483919
2017-11-30,Lake Hoare,0.07344460982687458
2017-11-30,Lake Fryxell,0.058108888148199124
2017-11-30,West Lake Bonney,0.21028415933717032
2017-12-02,East Lake Bonney,0.14039516754797654
2017-12-02,Lake Hoare,0.10433197953563643
2017-12-02,Lake Fryxell,0.051083131570921765
2017-12-02,West Lake Bonney,0.061165662981875236
2017-12-07,East Lake Bonney,0.015828105992841318
2017-12-07,Lake Hoare,0.011486338023096352
2017-12-07,Lake Fryxell,0.03372906951990433
2017-12-07,West Lake Bonney,0.0025855608098209093
2017-12-16,East Lake Bonney,0.21644365426152953
2017-12-16,Lake Hoare,0.05560215299483396
2017-12-16,Lake Fryxell,0.0015621245774673294
2017-12-16,West Lake Bonney,0.1573935828357935
2017-12-23,East Lake Bonney,0.22874672677367922
2017-12-23,Lake Hoare,0.062216162306576915
2017-12-23,Lake Fryxell,0.005197805035186331
2017-12-23,West Lake Bonney,0.18104230958968404
2018-01-03,East Lake Bonney,0.006230782778293381
2018-01-03,Lake Hoare,0.08309578428510554
2018-01-03,Lake Fryxell,0.01930909176717248
2018-01-03,West Lake Bonney,0.006537447618684401
2018-01-05,East Lake Bonney,0.012762828952872951
2018-01-05,Lake Hoare,0.07382410801597887
2018-01-05,Lake Fryxell,0.017091426536208
2018-01-05,West Lake Bonney,0.1672859711945056
2018-01-07,East Lake Bonney,NA
2018-01-07,Lake Hoare,NA
2018-01-07,Lake Fryxell,0.020205905590555594
2018-01-07,West Lake Bonney,NA
2018-01-10,East Lake Bonney,0.020717265245766645
2018-01-10,Lake Hoare,0.07188912929501375
2018-01-10,Lake Fryxell,0.014184591476259847
2018-01-10,West Lake Bonney,5.336667527444661e-6
2018-01-12,East Lake Bonney,0.046318575221957835
2018-01-12,Lake Hoare,0.07076722604688257
2018-01-12,Lake Fryxell,0.017115717831475228
2018-01-12,West Lake Bonney,0.004800528457690247
2018-01-14,East Lake Bonney,0.015557846906012888
