date,lake,sediment
2015-12-18,East Lake Bonney,0.7869347812165557
2015-12-18,Lake Hoare,0.7848801333941452
2015-12-18,Lake Fryxell,0.6835519872920687
2015-12-18,West Lake Bonney,0.8251133262835362
2015-12-21,East Lake Bonney,0.8823735777472054
2015-12-21,Lake Hoare,0.8872879155342285
2015-12-21,Lake Fryxell,0.87114605605129
2015-12-21,West Lake Bonney,0.9023815151584362
2015-12-27,East Lake Bonney,0.9201719459396409
2015-12-27,Lake Hoare,0.7988495152761542
2015-12-27,Lake Fryxell,0.7703344281517285
2015-12-27,West Lake Bonney,0.9489166801123688
2015-12-28,East Lake Bonney,0.9482956686839904
2015-12-28,Lake Hoare,0.889214908498885
2015-12-28,Lake Fryxell,0.8695680657877877
2015-12-28,West Lake Bonney,0.970736246975644
2015-12-29,East Lake Bonney,0.9786703891804988
2015-12-29,Lake Hoare,0.9642046652963718
2015-12-29,Lake Fryxell,0.9739693894329441
2015-12-29,West Lake Bonney,0.9968021528732834
2015-12-31,East Lake Bonney,0.9676598030328558
2015-12-31,Lake Hoare,0.9497012080270917
2015-12-31,Lake Fryxell,0.9538807820121712
2015-12-31,West Lake Bonney,0.9866944562139041
2016-01-07,East Lake Bonney,0.9839233812886282
2016-01-07,Lake Hoare,0.9755374402814333
2016-01-07,Lake Fryxell,0.9998838103646608
2016-01-07,West Lake Bonney,0.9945078783042796
2016-01-13,East Lake Bonney,0.9598376341973358
2016-01-13,Lake Hoare,0.9755566362675581
2016-01-13,Lake Fryxell,0.977706119743643
2016-01-13,West Lake Bonney,0.988388729647428
2016-01-14,East Lake Bonney,0.9803592681761636
2016-01-14,Lake Hoare,0.9857052573942351
2016-01-14,Lake Fryxell,0.9963453213805773
2016-01-14,West Lake Bonney,0.9983490037433183
2016-01-23,East Lake Bonney,0.9912114012445266
2016-01-23,Lake Hoare,0.9865885012062836
2016-01-23,Lake Fryxell,0.9959359643283469
2016-01-23,West Lake Bonney,0.9977109158267167
2016-02-02,East Lake Bonney,0.9729081919386773
2016-02-02,Lake Hoare,0.9766690430283445
2016-02-02,Lake Fryxell,0.9993852544579206
2016-02-02,West Lake Bonney,0.9965457130919676
2016-02-05,East Lake Bonney,0.9772222730056596
2016-02-05,Lake Hoare,0.9808694260596492
2016-02-05,Lake Fryxell,0.9995565710931951
2016-02-05,West Lake Bonney,0.9973825859786803
2016-02-19,East Lake Bonney,0.9683273533079227
2016-02-19,Lake Hoare,0.9822666482694881
2016-02-19,Lake Fryxell,0.9806511205493101
2016-02-19,West Lake Bonney,0.9971067741290371
2016-10-24,East Lake Bonney,0.9923203936547678
2016-10-24,Lake Hoare,0.9895146055120297
2016-10-24,Lake Fryxell,0.9996489551026604
2016-10-24,West Lake Bonney,0.9977734742307116
2016-10-26,East Lake Bonney,0.9939047224187743
2016-10-26,Lake Hoare,0.9896238507087568
2016-10-26,Lake Fryxell,0.9877879041772925
2016-10-26,West Lake Bonney,0.9981692374882372
2016-10-30,East Lake Bonney,0.9885552893830566
2016-10-30,Lake Hoare,0.9781766086879545
2016-10-30,Lake Fryxell,0.769044897039713
2016-10-30,West Lake Bonney,0.9956986573757654
2016-11-01,East Lake Bonney,0.9961303946030694
2016-11-01,Lake Hoare,0.9902951007722695
2016-11-01,Lake Fryxell,0.9592737621532406
2016-11-01,West Lake Bonney,0.9986626096620955
2016-11-03,East Lake Bonney,0.9866065562693962
2016-11-03,Lake Hoare,0.9920998419815571
2016-11-03,Lake Fryxell,0.9991729999991638
2016-11-03,West Lake Bonney,0.9992526487856171
2016-11-05,East Lake Bonney,0.9924292552103441
2016-11-05,Lake Hoare,0.99311220195302
2016-11-05,Lake Fryxell,0.9972122683122921
2016-11-05,West Lake Bonney,0.9993502296943297
2016-11-06,East Lake Bonney,0.989655288664499
2016-11-06,Lake Hoare,0.9945479608830184
2016-11-06,Lake Fryxell,0.9996979942094547
2016-11-06,West Lake Bonney,0.9997907010027429
2016-11-08,East Lake Bonney,0.9935501909322477
2016-11-08,Lake Hoare,0.9940881792600171
2016-11-08,Lake Fryxell,0.9995444611252867
2016-11-08,West Lake Bonney,0.9996200126463566
2016-11-09,East Lake Bonney,0.9879197337150226
2016-11-09,Lake Hoare,0.9926437351490984
2016-11-09,Lake Fryxell,0.9974458709376612
2016-11-09,West Lake Bonney,0.9994670031754417
2016-12-12,East Lake Bonney,1.0000000000000002
2016-12-12,Lake Hoare,0.9998077003771949
2016-12-12,Lake Fryxell,0.9999855681132254
2016-12-12,West Lake Bonney,0.9999939026918456
2016-12-13,East Lake Bonney,1
2016-12-13,Lake Hoare,0.9999130557356765
2016-12-13,Lake Fryxell,1
2016-12-13,West Lake Bonney,0.9999986105276366
2016-12-15,East Lake Bonney,0.9999736117777216
2016-12-15,Lake Hoare,0.9998250443379672
2016-12-15,Lake Fryxell,0.9997299700481
2016-12-15,West Lake Bonney,0.9999778016842639
2016-12-18,East Lake Bonney,0.9998885465085443
2016-12-18,Lake Hoare,0.9998271158559229
2016-12-18,Lake Fryxell,0.9993813304864466
2016-12-18,West Lake Bonney,0.9999460561084116
2016-12-19,East Lake Bonney,0.999258673404563
2016-12-19,Lake Hoare,0.9998190462258413
2016-12-19,Lake Fryxell,0.9998663017773474
2016-12-19,West Lake Bonney,0.9999340716300142
2016-12-25,East Lake Bonney,0.9882187785973516
2016-12-25,Lake Hoare,0.9784753412475036
2016-12-25,Lake Fryxell,0.9796240370567103
2016-12-25,West Lake Bonney,0.9973664060560371
2017-01-02,East Lake Bonney,0.9785525656328421
2017-01-02,Lake Hoare,0.9918362569193284
2017-01-02,Lake Fryxell,0.9953186612203742
2017-01-02,West Lake Bonney,0.9984676859272316
2017-01-08,East Lake Bonney,0.9994423108604954
2017-01-08,Lake Hoare,0.9839695505411766
2017-01-08,Lake Fryxell,0.9993833452795701
2017-01-08,West Lake Bonney,0.9992962906652524
2017-01-14,East Lake Bonney,0.9904816524267347
2017-01-14,Lake Hoare,0.9988109128546833
2017-01-14,Lake Fryxell,1.0000000000000004
2017-01-14,West Lake Bonney,0.9986588653212803
2017-01-15,East Lake Bonney,0.9667908421333546
2017-01-15,Lake Hoare,0.9832238466924363
2017-01-15,Lake Fryxell,0.9986198105238197
2017-01-15,West Lake Bonney,0.9848542957673654
2017-01-18,East Lake Bonney,0.9124114544096058
2017-01-18,Lake Hoare,0.9221684776675444
2017-01-18,Lake Fryxell,0.9718107731689439
2017-01-18,West Lake Bonney,0.9471163022418029
2017-01-24,East Lake Bonney,0.9668569783418575
2017-01-24,Lake Hoare,0.9387021268100698
2017-01-24,Lake Fryxell,0.9768365201624359
2017-01-24,West Lake Bonney,0.979459196491793
2017-01-25,East Lake Bonney,0.9641262820616653
2017-01-25,Lake Hoare,0.9641622688664104
2017-01-25,Lake Fryxell,0.9738413274043564
2017-01-25,West Lake Bonney,0.989730138252099
2017-01-27,East Lake Bonney,0.9456989475473778
2017-01-27,Lake Hoare,0.939892791775711
2017-01-27,Lake Fryxell,0.9314584371731329
2017-01-27,West Lake Bonney,0.9466507679923793
2017-01-28,East Lake Bonney,0.9582318110342618
2017-01-28,Lake Hoare,0.9489114305846876
2017-01-28,Lake Fryxell,0.9540046248641101
2017-01-28,West Lake Bonney,0.9825946065973259
2017-01-30,East Lake Bonney,0.9595011170205089
2017-01-30,Lake Hoare,0.9398325759686311
2017-01-30,Lake Fryxell,0.9302211765383531
2017-01-30,West Lake Bonney,0.974648413190838
2017-01-31,East Lake Bonney,0.9947137798490312
2017-01-31,Lake Hoare,0.9998524782385243
2017-01-31,Lake Fryxell,1.0000000000000004
2017-01-31,West Lake Bonney,0.998219520100525
2017-02-01,East Lake Bonney,0.9539702860478747
2017-02-01,Lake Hoare,0.9532539260238035
2017-02-01,Lake Fryxell,0.9685324435375519
2017-02-01,West Lake Bonney,0.9862686956846313
2017-02-10,East Lake Bonney,0.9636683974267622
2017-02-10,Lake Hoare,0.9567307350535528
2017-02-10,Lake Fryxell,0.9960936288168106
2017-02-10,West Lake Bonney,0.9956565736179238
2017-02-11,East Lake Bonney,0.9491146924651944
2017-02-11,Lake Hoare,0.9633855047608333
2017-02-11,Lake Fryxell,0.9987976848701624
2017-02-11,West Lake Bonney,0.9917699356245491
2017-02-14,East Lake Bonney,0.9540981957872602
2017-02-14,Lake Hoare,0.963131978449171
2017-02-14,Lake Fryxell,0.9984862128384228
2017-02-14,West Lake Bonney,0.9950424670030711
2017-02-16,East Lake Bonney,0.9606178608620617
2017-02-16,Lake Hoare,0.9483691818506947
2017-02-16,Lake Fryxell,0.9725670213739611
2017-02-16,West Lake Bonney,0.9905240115970778
2017-02-19,East Lake Bonney,0.968737137980902
2017-02-19,Lake Hoare,0.95129028402903415
2017-02-19,Lake Fryxell,0.9693921586855945
2017-02-19,West Lake Bonney,0.9945605109157996
2017-02-20,East Lake Bonney,0.9597698973833821
2017-02-20,Lake Hoare,0.948479147126053
2017-02-20,Lake Fryxell,0.978438950676243
2017-02-20,West Lake Bonney,0.9947631332646465
2017-03-08,East Lake Bonney,0.998007823216128
2017-03-08,Lake Hoare,0.9979595544089351
2017-03-08,Lake Fryxell,0.9999482041441259
2017-03-08,West Lake Bonney,0.9988207783894465
2018-01-12,East Lake Bonney,0.9356261764688557
2018-01-12,Lake Hoare,0.8745856202637277
2018-01-12,Lake Fryxell,0.8173250204871517
2018-01-12,West Lake Bonney,0.9376733023249325
2018-01-23,East Lake Bonney,0.9531618297802706
2018-01-23,Lake Hoare,0.8388281457171476
2018-01-23,Lake Fryxell,0.7164183107865145
2018-01-23,West Lake Bonney,0.97671426108198
2018-02-12,East Lake Bonney,0.9570397043538417
2018-02-12,Lake Hoare,0.9095320667304606
2018-02-12,Lake Fryxell,0.795604907222994
2018-02-12,West Lake Bonney,0.9886531931227042
2018-02-17,East Lake Bonney,0.9626087492702619
2018-02-17,Lake Hoare,0.9516601146287174
2018-02-17,Lake Fryxell,0.7830164930184322
2018-02-17,West Lake Bonney,0.9860543586887776
2018-10-15,East Lake Bonney,0.9731207961328893
2018-10-15,Lake Hoare,0.9442953016833727
2018-10-15,Lake Fryxell,0.9868838431543893
2018-10-15,West Lake Bonney,0.991780474467537
2018-10-24,East Lake Bonney,0.9969440464646836
2018-10-24,Lake Hoare,0.9897974645091577
2018-10-24,Lake Fryxell,0.997939120416304
2018-10-24,West Lake Bonney,0.9973830151128498
2018-11-24,East Lake Bonney,0.9861302992676194
2018-11-24,Lake Hoare,0.9841064291709534
2018-11-24,Lake Fryxell,0.99936801905401
2018-11-24,West Lake Bonney,0.99963941449727
2019-02-21,East Lake Bonney,0.32382033543045385
2019-02-21,Lake Hoare,0.1615210607690037
2019-02-21,Lake Fryxell,0.6791429718801163
2019-02-21,West Lake Bonney,0.4650473261839496
2019-02-22,East Lake Bonney,0.9593633551210206
2019-02-22,Lake Hoare,0.9981268163641839
2019-02-22,Lake Fryxell,0.9064321255125616
2019-02-22,West Lake Bonney,0.9945952709774418
2019-09-29,East Lake Bonney,0.9673052247231599
2019-09-29,Lake Hoare,0.9439949213359274
2019-09-29,Lake Fryxell,0.9959322432475689
