date,lake,sediment
2016-11-02,East Lake Bonney,0.7312084809059998
2016-11-02,Lake Hoare,0.4318697563518427
2016-11-02,Lake Fryxell,0.16934329655862337
2016-11-02,West Lake Bonney,0.7079535452068562
2016-11-04,East Lake Bonney,0.6632603250794943
2016-11-04,Lake Hoare,0.4195731143638371
2016-11-04,Lake Fryxell,0.16992700715590883
2016-11-04,West Lake Bonney,0.6595055112533085
2016-11-06,East Lake Bonney,0.6946282686903857
2016-11-06,Lake Hoare,0.41843052397540825
2016-11-06,Lake Fryxell,0.1769723960185497
2016-11-06,West Lake Bonney,0.6817770787679592
2016-11-08,East Lake Bonney,0.6783190716390409
2016-11-08,Lake Hoare,0.4217895652682538
2016-11-08,Lake Fryxell,0.18736685291826186
2016-11-08,West Lake Bonney,0.6724174872693917
2016-11-13,East Lake Bonney,0.6017080805020172
2016-11-13,Lake Hoare,0.787850746382406
2016-11-13,Lake Fryxell,0.17539242135111618
2016-11-13,West Lake Bonney,0.6395566461996718
2016-11-15,East Lake Bonney,0.6046602427384524
2016-11-15,Lake Hoare,0.3360325271028828
2016-11-15,Lake Fryxell,0.17566306611823826
2016-11-15,West Lake Bonney,0.631044441372506
2016-12-10,East Lake Bonney,0.9692218726427211
2016-12-10,Lake Hoare,0.46571133754991356
2016-12-10,Lake Fryxell,0.07376625731326115
2016-12-10,West Lake Bonney,0.9229364815079388
2016-12-13,East Lake Bonney,0.8064748141530241
2016-12-13,Lake Hoare,0.486331891119155
2016-12-13,Lake Fryxell,0.07866839285800081
2016-12-13,West Lake Bonney,0.7566119167518818
2016-12-15,East Lake Bonney,0.726328059381429
2016-12-15,Lake Hoare,0.46800816894701935
2016-12-15,Lake Fryxell,0.08007561612391251
2016-12-15,West Lake Bonney,0.6714871865321834
2016-12-17,East Lake Bonney,0.7965029972620435
2016-12-17,Lake Hoare,0.8115128882012724
2016-12-17,Lake Fryxell,0.1172305862578265
2016-12-17,West Lake Bonney,0.7322148445677944
2016-12-19,East Lake Bonney,NA
2016-12-19,Lake Hoare,NA
2016-12-19,Lake Fryxell,0.09163139210767024
2016-12-19,West Lake Bonney,NA
2016-12-24,East Lake Bonney,0.46335780891100786
2016-12-24,Lake Hoare,0.26307701000251904
2016-12-24,Lake Fryxell,0.11154969918413157
2016-12-24,West Lake Bonney,0.5627727380346274
2017-01-02,East Lake Bonney,0.47130228856816125
2017-01-02,Lake Hoare,0.30917308362344575
2017-01-02,Lake Fryxell,0.19696745570213375
2017-01-02,West Lake Bonney,0.5711887610983893
2017-01-11,East Lake Bonney,0.48266270869674877
2017-01-11,Lake Hoare,0.34271786051439185
2017-01-11,Lake Fryxell,0.18091675731843573
2017-01-11,West Lake Bonney,0.5656565323506959
2017-01-14,East Lake Bonney,0.46630591946010663
2017-01-14,Lake Hoare,0.3518266364249102
2017-01-14,Lake Fryxell,0.21394422511459374
2017-01-14,West Lake Bonney,0.5765365493766784
2017-01-18,East Lake Bonney,0.4679033370443667
2017-01-18,Lake Hoare,0.32658724000398875
2017-01-18,Lake Fryxell,0.1637182555036711
2017-01-18,West Lake Bonney,0.5668713050165661
2017-01-25,East Lake Bonney,0.5064005498514227
2017-01-25,Lake Hoare,0.3720567779569798
2017-01-25,Lake Fryxell,0.15570235192601706
2017-01-25,West Lake Bonney,0.5841493743125543
2017-01-27,East Lake Bonney,0.5012572211014341
2017-01-27,Lake Hoare,0.37686069066988764
2017-01-27,Lake Fryxell,0.15676411718542232
2017-01-27,West Lake Bonney,0.577826468611328
2017-01-30,East Lake Bonney,0.5214218513596729
2017-01-30,Lake Hoare,0.38418638610270217
2017-01-30,Lake Fryxell,0.15696272227368804
2017-01-30,West Lake Bonney,0.5918860017814104
2017-02-01,East Lake Bonney,0.5230791326727878
2017-02-01,Lake Hoare,0.3865543545892768
2017-02-01,Lake Fryxell,0.1571301465216682
2017-02-01,West Lake Bonney,NA
2017-11-04,East Lake Bonney,0.9670131825416474
2017-11-04,Lake Hoare,0.5132308943648382
2017-11-04,Lake Fryxell,0.19613187852923739
2017-11-04,West Lake Bonney,NA
2017-11-07,East Lake Bonney,0.6122808028262983
2017-11-07,Lake Hoare,0.8551014822796704
2017-11-07,Lake Fryxell,0.34154280792854835
2017-11-07,West Lake Bonney,0.8303760781087797
2017-11-18,East Lake Bonney,0.6815853221520466
2017-11-18,Lake Hoare,0.49662618023935035
2017-11-18,Lake Fryxell,0.2608363944243972
2017-11-18,West Lake Bonney,0.832378793779126
2017-11-20,East Lake Bonney,NA
2017-11-20,Lake Hoare,0.8976085165351172
2017-11-20,Lake Fryxell,0.2053264270063183
2017-11-20,West Lake Bonney,NA
2017-11-21,East Lake Bonney,0.628945295495735
2017-11-21,Lake Hoare,0.4415290731369015
2017-11-21,Lake Fryxell,0.24516074258847592
2017-11-21,West Lake Bonney,0.7818044042274087
2017-11-25,East Lake Bonney,0.5975956902971827
2017-11-25,Lake Hoare,0.43664277396214424
2017-11-25,Lake Fryxell,0.2743542611820727
2017-11-25,West Lake Bonney,0.7134916498134665
2017-11-27,East Lake Bonney,0.5699994831015687
2017-11-27,Lake Hoare,0.41477996356523333
2017-11-27,Lake Fryxell,0.2590959264164149
2017-11-27,West Lake Bonney,0.6753722993397085
2017-11-30,East Lake Bonney,0.5279647423114373
2017-11-30,Lake Hoare,0.33192304979996
2017-11-30,Lake Fryxell,0.20982113175859413
2017-11-30,West Lake Bonney,0.643528149946596
2017-12-02,East Lake Bonney,0.49869319061171724
2017-12-02,Lake Hoare,0.3572919751302394
2017-12-02,Lake Fryxell,0.213415755939574
2017-12-02,West Lake Bonney,0.5531055841321734
2017-12-07,East Lake Bonney,0.38603925100121733
2017-12-07,Lake Hoare,0.17616725048804574
2017-12-07,Lake Fryxell,0.19330538697133146
2017-12-07,West Lake Bonney,0.5775187442253739
2017-12-16,East Lake Bonney,0.5591553251064283
2017-12-16,Lake Hoare,0.26486987968309716
2017-12-16,Lake Fryxell,0.12681710518854358
2017-12-16,West Lake Bonney,0.6154717794996343
2017-12-23,East Lake Bonney,0.5872863570082262
2017-12-23,Lake Hoare,0.29849584110784966
2017-12-23,Lake Fryxell,0.15439744146547268
2017-12-23,West Lake Bonney,0.6362203929011211
2018-01-03,East Lake Bonney,0.4376385628124321
2018-01-03,Lake Hoare,0.29055809632636076
2018-01-03,Lake Fryxell,0.16700128600609274
2018-01-03,West Lake Bonney,0.5482055796627057
2018-01-05,East Lake Bonney,0.41407094022880186
2018-01-05,Lake Hoare,0.2767668935922118
2018-01-05,Lake Fryxell,0.1605026118168391
