date,lake,sediment
2016-11-02,Lake Fryxell,0.4898775278776886
2016-11-02,Lake Hoare,0.3583362465351823
2016-11-02,East Lake Bonney,0.3277037917077541
2016-11-02,West Lake Bonney,0.40568109661340723
2016-11-04,Lake Fryxell,0.4674276830255989
2016-11-04,Lake Hoare,0.3416257859393951
2016-11-04,East Lake Bonney,0.33685599505901326
2016-11-04,West Lake Bonney,0.41531281799078
2016-11-06,Lake Fryxell,0.4742129104584454
2016-11-06,Lake Hoare,0.34134352494031195
2016-11-06,East Lake Bonney,0.32602976717054843
2016-11-06,West Lake Bonney,0.4028528866171836
2016-11-08,Lake Fryxell,0.45144024699926394
2016-11-08,Lake Hoare,0.3156618643924592
2016-11-08,East Lake Bonney,0.30957368966192017
2016-11-08,West Lake Bonney,0.3873923377692699
2016-11-13,Lake Fryxell,0.4661338924616575
2016-11-13,Lake Hoare,0.24305298011749996
2016-11-13,East Lake Bonney,0.32985968776047225
2016-11-13,West Lake Bonney,0.39720914632081983
2016-11-15,Lake Fryxell,0.45234294615685944
2016-11-15,Lake Hoare,0.3313307593762874
2016-11-15,East Lake Bonney,0.31992169328033954
2016-11-15,West Lake Bonney,0.39686344288289527
2016-12-10,Lake Fryxell,0.6122838436067098
2016-12-10,Lake Hoare,0.5155929271131754
2016-12-10,East Lake Bonney,0.33976315729320067
2016-12-10,West Lake Bonney,0.4037263076752424
2016-12-13,Lake Fryxell,0.5926262499392033
2016-12-13,Lake Hoare,0.4459552465379237
2016-12-13,East Lake Bonney,0.3597256607562303
2016-12-13,West Lake Bonney,0.44299909569323037
2016-12-15,Lake Fryxell,0.5918758319318291
2016-12-15,Lake Hoare,0.41330563388764835
2016-12-15,East Lake Bonney,0.35897887207567697
2016-12-15,West Lake Bonney,0.46214451491832753
2016-12-17,Lake Fryxell,0.5960682138800617
2016-12-17,Lake Hoare,0.34735226035118083
2016-12-17,East Lake Bonney,0.32385606329888084
2016-12-17,West Lake Bonney,0.43397424846887567
2016-12-19,Lake Fryxell,0.5425865851342676
2016-12-19,Lake Hoare,NA
2016-12-19,East Lake Bonney,NA
2016-12-19,West Lake Bonney,NA
